"日期","最新","开盘","高","低","交易量","百分比变化"
"2018年3月16日","11,051.12","11,166.43","11,192.01","11,051.12","81.68K","-1.01"
"2018年3月15日","11,163.65","11,100.53","11,195.94","11,051.62","9.03B","0.22"
"2018年3月14日","11,139.63","11,198.77","11,242.30","11,138.39","9.39B","-0.91"
"2018年3月13日","11,241.41","11,311.04","11,335.30","11,236.38","10.89B","-0.75"
"2018年3月12日","11,326.27","11,266.32","11,328.77","11,260.46","13.41B","1.17"
"2018年3月9日","11,194.91","11,040.37","11,203.72","11,030.55","12.03B","1.60"
"2018年3月8日","11,019.08","10,902.35","11,019.08","10,892.18","8.32B","1.05"
"2018年3月7日","10,904.99","10,993.95","11,031.48","10,897.58","9.18B","-0.94"
"2018年3月6日","11,007.95","10,909.28","11,007.95","10,873.85","11.22B","1.22"
"2018年3月5日","10,875.68","10,882.87","10,913.03","10,813.47","8.00B","0.18"
"2018年3月2日","10,856.25","10,857.87","10,947.39","10,840.01","9.16B","-0.79"
"2018年3月1日","10,943.13","10,754.62","10,943.13","10,732.93","9.78B","1.06"
"2018年2月28日","10,828.73","10,705.81","10,875.71","10,656.36","10.09B","0.20"
"2018年2月27日","10,807.53","10,898.29","10,915.36","10,791.95","10.40B","-0.81"
"2018年2月26日","10,895.56","10,731.31","10,920.21","10,670.17","11.18B","2.18"
"2018年2月23日","10,662.79","10,667.81","10,700.11","10,578.79","7.59B","0.04"
"2018年2月22日","10,658.94","10,547.81","10,667.80","10,526.98","7.84B","2.18"
"2018年2月14日","10,431.91","10,381.16","10,433.09","10,319.15","5.34B","0.67"
"2018年2月13日","10,362.43","10,367.68","10,486.81","10,350.17","7.72B","0.69"
"2018年2月12日","10,291.88","10,059.86","10,325.68","10,059.86","8.10B","2.91"
"2018年2月9日","10,001.23","10,096.47","10,172.78","9,868.83","11.35B","-3.58"
"2018年2月8日","10,372.59","10,219.39","10,411.20","10,219.21","8.62B","1.23"
"2018年2月7日","10,246.97","10,563.31","10,599.54","10,173.66","11.27B","-1.26"
"2018年2月6日","10,377.61","10,603.53","10,685.16","10,377.61","11.79B","-4.23"
"2018年2月5日","10,836.25","10,761.08","10,873.24","10,741.85","9.11B","-0.81"
"2018年2月2日","10,925.16","10,794.13","10,933.15","10,663.54","10.70B","0.56"
"2018年2月1日","10,864.34","11,145.41","11,171.36","10,836.35","12.92B","-2.65"
"2018年1月31日","11,159.68","11,210.06","11,244.18","11,119.32","10.72B","-1.06"
"2018年1月30日","11,278.78","11,319.97","11,370.00","11,260.31","9.38B","-0.65"
"2018年1月29日","11,352.72","11,547.68","11,556.65","11,323.69","12.24B","-1.77"
"2018年1月26日","11,557.82","11,524.70","11,605.13","11,512.94","10.08B","0.05"
"2018年1月25日","11,552.56","11,588.38","11,633.46","11,548.68","12.39B","-0.47"
"2018年1月24日","11,607.57","11,548.21","11,613.95","11,456.26","12.78B","0.45"
"2018年1月23日","11,555.25","11,514.56","11,564.95","11,493.74","10.16B","0.37"
"2018年1月22日","11,513.08","11,289.86","11,513.08","11,273.69","10.78B","1.92"
"2018年1月19日","11,296.27","11,314.46","11,393.04","11,276.57","11.20B","-0.21"
"2018年1月18日","11,319.91","11,287.64","11,375.11","11,279.42","8.96B","0.14"
"2018年1月17日","11,303.97","11,366.60","11,367.16","11,185.92","13.32B","-0.73"
