"日期","最新","开盘","高","低","交易量","百分比变化"
"2005年7月19日","1,233.25","1,226.50","1,234.00","1,226.50","613.90K","0.55"
"2005年7月18日","1,226.50","1,230.50","1,231.50","1,224.00","445.75K","-0.39"
"2005年7月15日","1,231.25","1,231.25","1,233.50","1,226.50","554.68K","-0.04"
"2005年7月14日","1,231.75","1,227.75","1,237.50","1,227.00","880.01K","0.31"
"2005年7月13日","1,228.00","1,225.75","1,228.50","1,222.75","589.63K","0.20"
"2005年7月12日","1,225.50","1,223.25","1,229.75","1,219.75","731.03K","0.16"
"2005年7月11日","1,223.50","1,216.50","1,224.75","1,215.50","660.77K","0.58"
"2005年7月8日","1,216.50","1,202.75","1,217.25","1,200.75","841.62K","1.14"
"2005年7月7日","1,202.75","1,198.25","1,203.25","1,170.75","1.33M","0.35"
"2005年7月6日","1,198.50","1,208.75","1,210.75","1,198.00","802.30K","-0.87"
"2005年7月5日","1,209.00","1,200.00","1,210.75","1,195.50","713.52K","0.75"
"2005年7月1日","1,200.00","1,196.00","1,202.25","1,195.25","616.16K","0.38"
"2005年6月30日","1,195.50","1,203.00","1,207.75","1,194.00","805.57K","-0.62"
"2005年6月29日","1,203.00","1,206.75","1,208.75","1,202.00","525.91K","-0.31"
"2005年6月28日","1,206.75","1,196.00","1,207.25","1,195.75","672.91K","0.88"
"2005年6月27日","1,196.25","1,195.50","1,199.25","1,192.50","660.71K","0.04"
"2005年6月24日","1,195.75","1,204.00","1,206.25","1,193.25","806.44K","-0.69"
"2005年6月23日","1,204.00","1,221.25","1,222.50","1,203.75","888.43K","-1.39"
"2005年6月22日","1,221.00","1,221.00","1,225.00","1,216.00","571.23K","0.00"
"2005年6月21日","1,221.00","1,220.00","1,222.50","1,216.25","586.45K","0.08"
"2005年6月20日","1,220.00","1,220.50","1,224.50","1,215.25","490.35K","-0.22"
"2005年6月17日","1,222.68","1,210.50","1,217.50","1,210.00","6.61K","1.01"
"2005年6月16日","1,210.50","1,206.50","1,212.25","1,205.25","98.07K","0.33"
"2005年6月15日","1,206.50","1,205.00","1,209.00","1,198.50","101.04K","0.12"
"2005年6月14日","1,205.00","1,202.25","1,208.25","1,200.00","100.31K","0.21"
"2005年6月13日","1,202.50","1,199.00","1,207.25","1,194.75","167.71K","0.29"
"2005年6月10日","1,199.00","1,201.00","1,203.75","1,192.50","210.23K","-0.17"
"2005年6月9日","1,201.00","1,195.75","1,202.75","1,191.25","345.66K","0.42"
