"日期","最新","开盘","高","低","交易量","百分比变化"
"2018年3月16日","24,977.0","24,946.0","25,050.0","24,848.0","0","0.28"
"2018年3月15日","24,907.0","24,784.0","25,059.0","24,675.0","60.75K","0.55"
"2018年3月14日","24,770.0","24,985.0","25,153.0","24,670.0","83.89K","-1.03"
"2018年3月13日","25,027.0","25,196.0","25,378.0","24,945.0","102.17K","-0.72"
"2018年3月12日","25,208.0","25,335.0","25,510.0","25,151.0","116.77K","-0.94"
"2018年3月11日","25,448.0","25,375.0","25,473.0","25,362.0","0","0.45"
"2018年3月9日","25,335.0","24,879.0","25,346.0","24,841.0","153.05K","1.78"
"2018年3月8日","24,892.0","24,784.0","24,956.0","24,704.0","230.60K","0.39"
"2018年3月7日","24,795.0","24,659.0","24,845.0","24,410.0","314.55K","-0.23"
"2018年3月6日","24,852.0","24,885.0","25,047.0","24,695.0","262.66K","-0.05"
"2018年3月5日","24,864.0","24,483.0","24,955.0","24,311.0","309.96K","1.34"
"2018年3月2日","24,535.0","24,616.0","24,670.0","24,204.0","397.22K","-0.35"
"2018年3月1日","24,620.0","25,090.0","25,185.0","24,431.0","453.19K","-1.67"
"2018年2月28日","25,038.0","25,411.0","25,577.0","25,018.0","271.88K","-1.54"
"2018年2月27日","25,429.0","25,758.0","25,813.0","25,388.0","310.01K","-1.28"
"2018年2月26日","25,758.0","25,328.0","25,774.0","25,300.0","192.59K","1.75"
"2018年2月23日","25,314.0","25,019.0","25,325.0","24,996.0","203.95K","1.20"
"2018年2月22日","25,013.0","24,783.0","25,137.0","24,576.0","276.48K","0.93"
"2018年2月21日","24,782.0","24,951.0","25,257.0","24,724.0","254.31K","-0.67"
"2018年2月20日","24,948.0","25,228.0","25,341.0","24,866.0","286.77K","-0.98"
"2018年2月19日","25,196.0","25,275.0","25,341.0","25,055.0","0","-0.33"
"2018年2月18日","25,280.0","25,237.0","25,289.0","25,224.0","0","0.17"
"2018年2月16日","25,236.0","25,230.0","25,424.0","25,113.0","260.43K","0.01"
"2018年2月15日","25,234.0","24,859.0","25,250.0","24,792.0","283.56K","1.49"
"2018年2月14日","24,863.0","24,629.0","24,897.0","24,280.0","335.70K","0.96"
"2018年2月13日","24,626.0","24,573.0","24,674.0","24,371.0","257.77K","0.17"
"2018年2月12日","24,583.0","24,251.0","24,734.0","24,218.0","300.84K","1.72"
"2018年2月9日","24,167.0","23,969.0","24,350.0","23,325.0","522.98K","0.82"
"2018年2月8日","23,970.0","24,716.0","24,928.0","23,800.0","492.41K","-3.09"
"2018年2月7日","24,735.0","24,742.0","25,239.0","24,503.0","429.67K","-0.26"
"2018年2月6日","24,800.0","24,087.0","24,890.0","23,088.0","655.99K","3.60"
"2018年2月5日","23,938.0","25,431.0","25,477.0","23,691.0","596.83K","-5.86"
"2018年2月2日","25,428.0","26,172.0","26,215.0","25,410.0","353.71K","-2.84"
"2018年2月1日","26,172.0","26,162.0","26,280.0","25,922.0","290.18K","0.14"
"2018年1月31日","26,136.0","26,045.0","26,310.0","26,026.0","243.90K","0.31"
"2018年1月30日","26,055.0","26,417.0","26,477.0","26,005.0","306.91K","-1.42"
"2018年1月29日","26,430.0","26,584.0","26,684.0","26,416.0","212.39K","-0.65"
"2018年1月26日","26,604.0","26,381.0","26,608.0","26,381.0","145.94K","0.86"
"2018年1月25日","26,376.0","26,265.0","26,437.0","26,210.0","222.39K","0.40"
"2018年1月24日","26,270.0","26,185.0","26,387.0","26,087.0","239.66K","0.26"
"2018年1月23日","26,201.0","26,201.0","26,315.0","26,135.0","183.15K","0.02"
"2018年1月22日","26,195.0","25,981.0","26,225.0","25,944.0","140.64K","0.57"
"2018年1月19日","26,046.0","25,944.0","26,086.0","25,876.0","166.34K","0.40"
"2018年1月18日","25,941.0","26,084.0","26,149.0","25,912.0","190.65K","-0.60"
"2018年1月17日","26,098.0","25,828.0","26,120.0","25,775.0","188.03K","1.08"
"2018年1月16日","25,819.0","25,813.0","26,061.0","25,682.0","309.93K","-0.50"
"2018年1月15日","25,948.0","25,896.0","25,985.0","25,868.0","0","0.20"
"2018年1月14日","25,896.0","25,813.0","25,900.0","25,811.0","0","0.37"
"2018年1月12日","25,801.0","25,539.0","25,813.0","25,531.0","152.58K","0.96"
"2018年1月11日","25,555.0","25,351.0","25,561.0","25,330.0","115.64K","0.80"
"2018年1月10日","25,351.0","25,354.0","25,384.0","25,222.0","143.64K","-0.09"
"2018年1月9日","25,373.0","25,246.0","25,415.0","25,238.0","125.14K","0.49"
"2018年1月8日","25,250.0","25,272.0","25,359.0","25,210.0","108.70K","-0.08"
"2018年1月5日","25,269.0","25,067.0","25,282.0","25,059.0","106.86K","0.86"
"2018年1月4日","25,053.0","24,884.0","25,082.0","24,878.0","115.66K","0.70"
"2018年1月3日","24,878.0","24,796.0","24,908.0","24,768.0","93.40K","0.44"
"2018年1月2日","24,768.0","24,735.0","24,857.0","24,716.0","105.42K","-0.03"
"2018年1月1日","24,775.0","24,735.0","24,779.0","24,726.0","0","0.16"
"2017年12月29日","24,735.0","24,808.0","24,886.0","24,667.0","74.02K","-0.25"
"2017年12月28日","24,797.0","24,791.0","24,840.0","24,784.0","59.44K","0.04"
"2017年12月27日","24,788.0","24,792.0","24,821.0","24,762.0","65.18K","-0.02"
"2017年12月26日","24,792.0","24,779.0","24,798.0","24,707.0","43.68K","0.02"
"2017年12月25日","24,787.0","24,776.0","24,796.0","24,764.0","0","0.08"
"2017年12月22日","24,766.0","24,793.0","24,843.0","24,729.0","70.79K","-0.05"
"2017年12月21日","24,778.0","24,736.0","24,860.0","24,714.0","89.25K","0.16"
"2017年12月20日","24,739.0","24,772.0","24,880.0","24,706.0","117.53K","-0.15"
"2017年12月19日","24,775.0","24,825.0","24,893.0","24,730.0","114.53K","-0.19"
"2017年12月18日","24,823.0","24,703.0","24,896.0","24,693.0","114.16K","0.53"
"2017年12月15日","24,691.0","24,557.5","24,706.5","24,545.0","0","0.63"
"2017年12月14日","24,537.0","24,630.0","24,684.0","24,517.0","40.79K","-0.37"
"2017年12月13日","24,627.0","24,525.0","24,668.0","24,466.0","53.86K","0.41"
"2017年12月12日","24,526.0","24,428.0","24,556.0","24,398.0","58.82K","0.51"
"2017年12月11日","24,401.0","24,325.0","24,435.0","24,321.0","66.30K","0.34"
"2017年12月8日","24,318.0","24,234.0","24,334.0","24,218.0","102.29K","0.36"
"2017年12月7日","24,231.0","24,167.0","24,263.0","24,073.0","127.11K","0.31"
"2017年12月6日","24,157.0","24,177.0","24,231.0","24,083.0","133.15K","-0.07"
"2017年12月5日","24,175.0","24,294.0","24,388.0","24,154.0","159.35K","-0.53"
"2017年12月4日","24,305.0","24,346.0","24,536.0","24,265.0","196.16K","0.28"
"2017年12月1日","24,238.0","24,235.0","24,325.0","23,924.0","346.05K","-0.15"
"2017年11月30日","24,274.0","23,918.0","24,328.0","23,892.0","210.84K","1.49"
"2017年11月29日","23,918.0","23,804.0","23,946.0","23,790.0","158.62K","0.45"
"2017年11月28日","23,811.0","23,563.0","23,827.0","23,522.0","143.56K","1.06"
"2017年11月27日","23,562.0","23,515.0","23,616.0","23,475.0","101.43K","0.19"
"2017年11月24日","23,517.0","23,485.0","23,569.0","23,432.0","74.05K","0.14"
"2017年11月23日","23,484.5","23,491.0","23,508.5","23,432.5","0","-0.00"
"2017年11月22日","23,485.0","23,550.0","23,599.0","23,476.0","93.77K","-0.25"
"2017年11月21日","23,543.0","23,398.0","23,586.0","23,375.0","113.83K","0.63"
"2017年11月20日","23,395.0","23,318.0","23,427.0","23,241.0","110.12K","0.34"
"2017年11月17日","23,316.0","23,416.0","23,440.0","23,305.0","125.40K","-0.46"
"2017年11月16日","23,424.0","23,260.0","23,464.0","23,244.0","136.36K","0.70"
"2017年11月15日","23,262.0","23,366.0","23,366.0","23,205.0","166.04K","-0.48"
"2017年11月14日","23,375.0","23,398.0","23,424.0","23,231.0","143.45K","-0.13"
"2017年11月13日","23,406.0","23,397.0","23,429.0","23,288.0","110.34K","0.10"
"2017年11月10日","23,382.0","23,403.0","23,447.0","23,338.0","113.94K","-0.15"
"2017年11月9日","23,416.0","23,491.0","23,535.0","23,260.0","222.95K","-0.32"
"2017年11月8日","23,491.0","23,461.0","23,507.0","23,434.0","97.48K","0.01"
"2017年11月7日","23,488.0","23,501.0","23,557.0","23,414.0","116.84K","0.00"
"2017年11月6日","23,487.0","23,444.0","23,507.0","23,407.0","90.27K","0.16"
"2017年11月3日","23,449.0","23,455.0","23,494.0","23,416.0","97.92K","0.02"
"2017年11月2日","23,444.0","23,359.0","23,472.0","23,289.0","135.67K","0.31"
"2017年11月1日","23,372.0","23,334.0","23,464.0","23,320.0","135.45K","0.20"
"2017年10月31日","23,325.0","23,290.0","23,352.0","23,269.0","85.15K","0.15"
"2017年10月30日","23,291.0","23,361.0","23,386.0","23,274.0","117.37K","-0.35"
"2017年10月27日","23,372.0","23,356.0","23,408.0","23,297.0","126.17K","0.10"
"2017年10月26日","23,349.0","23,311.0","23,404.0","23,289.0","125.50K","0.21"
"2017年10月25日","23,301.0","23,389.0","23,416.0","23,203.0","189.23K","-0.44"
"2017年10月24日","23,403.0","23,220.0","23,436.0","23,220.0","132.15K","0.75"
"2017年10月23日","23,228.0","23,272.0","23,320.0","23,214.0","103.26K","-0.21"
"2017年10月20日","23,277.0","23,115.0","23,283.0","23,106.0","121.59K","0.71"
"2017年10月19日","23,114.0","23,113.0","23,124.0","22,951.0","138.86K","0.00"
"2017年10月18日","23,114.0","22,964.0","23,124.0","22,961.0","85.64K","0.71"
